city,user_id,event_type,start_day
City-B,22,SHOCK,239
City-B,31,PV,199
City-B,40,EV,157
City-B,48,PV,108
City-B,58,PV,92
City-B,74,EV,94
City-B,75,PV,75
City-B,78,EV,84
City-B,87,PV,98
City-B,89,EV,150
City-B,91,SHOCK,169
City-B,102,EV,197
City-B,107,PV,78
City-B,112,SHOCK,246
City-B,113,PV,185
City-B,123,EV,242
City-B,136,SHOCK,156
City-B,143,SHOCK,265
City-B,153,SHOCK,108
City-B,156,EV,247
City-B,159,SHOCK,247
City-B,163,SHOCK,146
City-B,174,PV,102
City-B,176,PV,96
City-B,188,EV,128
City-B,198,PV,210
City-B,201,SHOCK,315
City-B,211,EV,91
City-B,214,EV,103
City-B,220,PV,203
City-B,235,EV,150
City-B,238,SHOCK,296
City-B,247,SHOCK,106
City-B,250,SHOCK,177
City-B,258,PV,123
City-B,263,SHOCK,159
City-B,264,SHOCK,207
City-B,268,SHOCK,104
City-B,280,SHOCK,116
City-B,283,EV,78
City-B,302,EV,162
City-B,303,SHOCK,309
City-B,311,EV,232
City-B,314,EV,226
City-B,315,PV,140
City-B,318,SHOCK,246
City-B,321,EV,237
City-B,323,EV,143
City-B,324,SHOCK,237
City-B,331,SHOCK,175
City-B,334,PV,197
City-B,335,SHOCK,283
City-B,336,SHOCK,113
City-B,341,PV,37
City-B,343,SHOCK,76
City-B,346,SHOCK,124
City-B,352,SHOCK,202
City-B,358,EV,211
City-B,376,EV,210
City-B,384,SHOCK,166
City-B,387,PV,175
City-B,388,SHOCK,179
City-B,402,SHOCK,72
City-B,418,EV,231
City-B,422,EV,199
City-B,471,PV,101
City-B,476,SHOCK,270
City-B,481,SHOCK,160
City-B,486,SHOCK,318
City-B,489,EV,77
City-B,491,EV,150
City-B,492,SHOCK,85
