city,user_id,user_type,base_cluster,amplitude,phase_base_hours,temp_group,temp_phase,event_type,event_start_day,tou_response_strength
City-B,0,residential,2,1.291054,-0.153003,0,0.203129,,-1,0.180000
City-B,1,mixed,5,0.758766,0.342800,1,1.709074,,-1,0.550000
City-B,2,commercial,2,1.466492,-0.018358,0,1.525736,,-1,0.750000
City-B,3,commercial,6,1.233770,0.175282,0,4.414724,,-1,0.750000
City-B,4,commercial,3,0.715264,-0.775143,1,3.112537,,-1,0.750000
City-B,5,commercial,3,0.964752,-0.356731,2,4.332498,,-1,0.750000
City-B,6,commercial,3,1.136659,-0.855471,2,3.718125,,-1,0.750000
City-B,7,commercial,3,0.972720,0.618565,0,3.024593,,-1,0.750000
City-B,8,commercial,2,0.918960,0.555694,0,5.563086,,-1,0.750000
City-B,9,commercial,2,0.958560,-0.047729,0,5.682377,,-1,0.750000
City-B,10,mixed,4,0.755673,0.227189,1,1.131069,,-1,0.550000
City-B,11,commercial,2,0.877293,0.439031,1,5.570178,,-1,0.750000
City-B,12,commercial,5,0.955890,-0.243344,0,1.899040,,-1,0.750000
City-B,13,commercial,2,0.641817,-0.579304,2,0.719623,,-1,0.750000
City-B,14,commercial,4,1.381634,0.244328,1,4.142114,,-1,0.750000
City-B,15,residential,3,1.347965,0.224395,2,5.233755,,-1,0.180000
City-B,16,commercial,2,0.921369,0.060006,2,3.524855,,-1,0.750000
City-B,17,residential,3,0.753360,-0.041808,2,3.326814,,-1,0.180000
City-B,18,commercial,3,0.545529,-0.301073,0,3.351626,,-1,0.750000
City-B,19,commercial,3,0.718869,-0.141945,1,2.094132,,-1,0.750000
City-B,20,commercial,4,0.693697,0.015366,2,0.084227,,-1,0.750000
City-B,21,commercial,7,1.252845,0.546476,2,0.676122,,-1,0.750000
City-B,22,commercial,4,0.659166,0.494003,2,5.645749,SHOCK,239,0.750000
City-B,23,commercial,4,0.719407,-0.285874,2,0.254721,,-1,0.750000
City-B,24,commercial,2,0.437761,-0.047841,1,0.065909,,-1,0.750000
City-B,25,commercial,3,1.328505,0.339429,0,1.144310,,-1,0.750000
City-B,26,residential,4,1.005970,0.759393,1,3.474008,,-1,0.180000
City-B,27,commercial,5,2.057604,0.116874,2,1.498555,,-1,0.750000
City-B,28,commercial,5,0.832288,0.119928,1,5.963151,,-1,0.750000
City-B,29,commercial,5,0.555057,-0.116095,2,5.542430,,-1,0.750000
City-B,30,commercial,2,1.391879,-0.313264,2,4.899467,,-1,0.750000
City-B,31,commercial,4,1.038203,-0.592931,0,5.499124,PV,199,0.750000
City-B,32,commercial,3,1.112904,-0.541754,1,1.365654,,-1,0.750000
City-B,33,commercial,3,0.702150,-0.335582,2,5.498278,,-1,0.750000
City-B,34,commercial,3,0.708281,0.323876,1,5.079333,,-1,0.750000
City-B,35,mixed,2,0.825479,-0.552359,0,2.252752,,-1,0.550000
City-B,36,residential,5,1.720429,0.385833,1,2.830715,,-1,0.180000
City-B,37,commercial,3,0.647509,0.009451,0,4.152352,,-1,0.750000
City-B,38,mixed,0,1.156527,0.327041,1,1.351898,,-1,0.550000
City-B,39,commercial,2,1.195006,-0.238283,2,0.726890,,-1,0.750000
City-B,40,commercial,3,0.800713,-0.924126,1,0.444056,EV,157,0.750000
City-B,41,commercial,6,1.503223,-0.438310,2,0.916347,,-1,0.750000
City-B,42,commercial,2,0.454473,-0.337052,2,4.791482,,-1,0.750000
City-B,43,commercial,4,2.089889,0.040998,1,0.965499,,-1,0.750000
City-B,44,commercial,2,0.997050,0.225649,0,0.158166,,-1,0.750000
City-B,45,commercial,2,1.494093,0.386821,2,3.638985,,-1,0.750000
City-B,46,residential,2,0.472551,-0.109031,0,0.133369,,-1,0.180000
City-B,47,commercial,2,1.292063,0.684300,1,1.433008,,-1,0.750000
City-B,48,commercial,0,0.824557,0.779852,1,3.503003,PV,108,0.750000
City-B,49,mixed,2,1.001991,-0.585524,1,2.842254,,-1,0.550000
City-B,50,commercial,5,0.634347,0.057535,0,5.372470,,-1,0.750000
City-B,51,commercial,1,1.133546,0.249635,2,5.146497,,-1,0.750000
City-B,52,commercial,7,1.101678,-0.353948,0,2.073700,,-1,0.750000
City-B,53,commercial,6,0.681623,0.558610,1,0.640298,,-1,0.750000
City-B,54,commercial,4,1.096986,-0.316350,1,0.207187,,-1,0.750000
City-B,55,residential,2,0.840505,-0.060798,1,5.885424,,-1,0.180000
City-B,56,residential,2,1.051270,0.470582,0,4.630515,,-1,0.180000
City-B,57,mixed,2,0.942711,-0.261131,0,2.160205,,-1,0.550000
City-B,58,commercial,3,0.899241,-0.247684,1,4.778388,PV,92,0.750000
City-B,59,commercial,1,1.959804,-0.454368,1,3.960245,,-1,0.750000
City-B,60,mixed,3,1.333160,-0.008079,2,4.846797,,-1,0.550000
City-B,61,commercial,4,0.787744,0.236445,2,5.169857,,-1,0.750000
City-B,62,residential,2,1.180358,-0.024869,0,3.901516,,-1,0.180000
City-B,63,residential,6,0.834032,1.072838,2,0.879385,,-1,0.180000
City-B,64,commercial,4,0.812297,-0.075369,1,5.003832,,-1,0.750000
City-B,65,commercial,3,1.249314,0.112982,0,2.160971,,-1,0.750000
City-B,66,residential,2,0.711316,-0.295053,2,1.930845,,-1,0.180000
City-B,67,residential,2,0.842930,-0.001280,0,1.081372,,-1,0.180000
City-B,68,commercial,1,1.511685,-0.456895,0,0.575681,,-1,0.750000
City-B,69,commercial,3,0.872019,0.448953,0,6.146927,,-1,0.750000
City-B,70,commercial,4,1.053724,0.045288,1,0.507245,,-1,0.750000
City-B,71,mixed,2,1.206362,0.584775,0,3.343610,,-1,0.550000
City-B,72,commercial,7,0.664220,-0.105828,0,5.710937,,-1,0.750000
City-B,73,mixed,7,0.843563,-0.103891,1,4.339380,,-1,0.550000
City-B,74,commercial,4,0.566604,0.427153,1,2.760722,EV,94,0.750000
City-B,75,residential,7,1.119412,-0.112187,1,5.708550,PV,75,0.180000
City-B,76,residential,4,1.156225,0.225581,1,1.008951,,-1,0.180000
City-B,77,mixed,2,0.748791,0.166836,0,4.788783,,-1,0.550000
City-B,78,mixed,5,0.890432,-0.262752,0,1.949370,EV,84,0.550000
City-B,79,commercial,4,1.321477,-0.285228,0,6.100853,,-1,0.750000
City-B,80,commercial,7,1.711468,0.101104,1,5.272821,,-1,0.750000
City-B,81,residential,0,0.994771,0.100648,0,1.122904,,-1,0.180000
City-B,82,mixed,2,0.578911,0.007385,0,2.114437,,-1,0.550000
City-B,83,residential,3,0.903861,-0.141199,0,2.010152,,-1,0.180000
City-B,84,mixed,2,1.814878,0.320091,2,1.876268,,-1,0.550000
City-B,85,commercial,4,0.741888,-0.104645,0,4.740874,,-1,0.750000
City-B,86,commercial,4,0.440386,-0.036031,0,0.644263,,-1,0.750000
City-B,87,commercial,3,0.698218,0.111480,2,6.196407,PV,98,0.750000
City-B,88,mixed,5,1.669812,0.481009,0,4.310764,,-1,0.550000
City-B,89,residential,1,0.696066,0.020373,0,5.284992,EV,150,0.180000
City-B,90,commercial,2,1.188198,-0.728273,0,6.095999,,-1,0.750000
City-B,91,commercial,1,0.872643,0.607400,1,2.405251,SHOCK,169,0.750000
City-B,92,residential,2,0.998585,0.169888,1,5.979681,,-1,0.180000
City-B,93,mixed,1,0.511131,-0.076975,0,1.139930,,-1,0.550000
City-B,94,commercial,2,0.609467,0.059365,2,6.265054,,-1,0.750000
City-B,95,commercial,3,1.105680,-0.154371,2,0.391583,,-1,0.750000
City-B,96,residential,7,1.503281,0.239639,2,5.011926,,-1,0.180000
City-B,97,residential,3,1.083365,0.083671,2,3.212717,,-1,0.180000
City-B,98,commercial,4,2.083541,0.633663,1,6.155389,,-1,0.750000
City-B,99,commercial,3,0.353836,0.138958,1,4.978311,,-1,0.750000
City-B,100,mixed,4,1.119944,0.356967,0,4.399992,,-1,0.550000
City-B,101,commercial,2,0.783708,0.068357,1,1.710749,,-1,0.750000
City-B,102,commercial,5,1.364252,0.130550,0,2.614885,EV,197,0.750000
City-B,103,residential,2,0.880991,0.273063,0,3.710270,,-1,0.180000
City-B,104,residential,4,0.871939,0.665762,1,2.774075,,-1,0.180000
City-B,105,commercial,3,0.963231,0.180389,1,5.435529,,-1,0.750000
City-B,106,commercial,3,0.935561,0.001621,2,4.167697,,-1,0.750000
City-B,107,commercial,2,1.208931,0.361288,1,4.688340,PV,78,0.750000
City-B,108,commercial,3,0.597662,-0.897260,1,3.201223,,-1,0.750000
City-B,109,commercial,3,0.475448,-0.032010,0,5.356190,,-1,0.750000
