city,user_id,event_type,start_day
City-C,0,SHOCK,88
City-C,9,PV,105
City-C,10,EV,105
City-C,11,EV,87
City-C,12,PV,164
City-C,18,SHOCK,241
City-C,22,EV,253
City-C,27,EV,161
City-C,28,EV,158
City-C,30,SHOCK,154
City-C,32,SHOCK,235
City-C,36,SHOCK,103
City-C,37,EV,131
City-C,41,SHOCK,120
City-C,47,PV,75
City-C,56,EV,227
City-C,58,SHOCK,218
City-C,62,SHOCK,285
City-C,65,EV,156
City-C,69,SHOCK,84
City-C,74,PV,135
City-C,77,PV,102
City-C,84,EV,248
City-C,87,PV,38
City-C,90,SHOCK,327
City-C,92,EV,173
City-C,101,PV,107
City-C,104,EV,225
City-C,112,EV,150
City-C,119,PV,71
City-C,121,PV,141
City-C,124,EV,254
City-C,135,SHOCK,200
City-C,146,EV,162
City-C,149,PV,159
City-C,152,SHOCK,89
City-C,155,EV,87
City-C,160,SHOCK,46
City-C,169,PV,55
City-C,177,PV,195
City-C,178,EV,97
City-C,180,PV,59
City-C,182,EV,157
City-C,184,PV,103
City-C,189,EV,211
City-C,190,PV,147
City-C,198,SHOCK,286
City-C,201,SHOCK,316
City-C,202,EV,234
City-C,208,EV,87
City-C,212,SHOCK,282
City-C,219,PV,100
City-C,227,SHOCK,182
City-C,234,EV,149
City-C,239,EV,117
City-C,241,EV,243
City-C,245,EV,158
City-C,246,EV,203
City-C,248,PV,194
City-C,249,PV,87
City-C,250,EV,181
City-C,252,PV,47
City-C,255,PV,89
City-C,256,SHOCK,255
City-C,260,EV,114
City-C,263,EV,150
City-C,267,PV,210
City-C,275,PV,141
City-C,277,EV,252
City-C,279,PV,42
City-C,282,PV,93
City-C,283,PV,104
City-C,287,EV,199
City-C,294,EV,88
City-C,303,EV,212
City-C,309,PV,74
City-C,312,EV,108
City-C,313,PV,131
City-C,314,EV,154
City-C,315,PV,142
City-C,316,PV,163
City-C,317,PV,82
City-C,324,PV,144
City-C,325,SHOCK,142
City-C,336,SHOCK,235
City-C,341,PV,209
City-C,342,SHOCK,106
City-C,347,EV,106
City-C,352,EV,218
City-C,353,EV,112
City-C,360,SHOCK,67
City-C,366,EV,106
City-C,368,EV,237
City-C,374,PV,208
City-C,375,PV,169
City-C,376,PV,146
City-C,386,PV,44
City-C,389,SHOCK,328
City-C,391,SHOCK,134
City-C,393,PV,59
City-C,394,PV,101
City-C,399,SHOCK,166
City-C,402,EV,251
City-C,406,SHOCK,76
City-C,409,EV,105
City-C,410,PV,202
City-C,412,SHOCK,246
City-C,413,EV,236
City-C,415,PV,119
City-C,419,PV,162
City-C,421,PV,93
City-C,428,EV,93
City-C,429,SHOCK,108
City-C,430,PV,87
City-C,432,EV,99
City-C,435,EV,143
City-C,437,SHOCK,270
City-C,443,SHOCK,310
City-C,450,EV,93
City-C,461,SHOCK,171
City-C,465,PV,136
City-C,474,SHOCK,63
City-C,478,SHOCK,84
City-C,481,PV,94
City-C,483,SHOCK,306
City-C,487,SHOCK,209
City-C,490,EV,218
City-C,491,EV,114
City-C,495,EV,199
City-C,496,PV,111
City-C,503,SHOCK,77
City-C,505,PV,55
City-C,513,PV,203
City-C,517,EV,100
City-C,518,EV,135
City-C,520,SHOCK,159
City-C,521,EV,94
City-C,527,PV,217
City-C,537,EV,226
City-C,544,SHOCK,36
City-C,548,PV,199
City-C,549,EV,129
City-C,552,PV,73
City-C,567,EV,202
City-C,576,PV,156
City-C,584,PV,132
City-C,585,SHOCK,52
City-C,586,EV,132
City-C,592,PV,159
City-C,594,PV,41
City-C,595,EV,183
City-C,596,PV,173
City-C,598,SHOCK,184
City-C,599,EV,142
City-C,603,EV,80
City-C,604,EV,226
City-C,606,SHOCK,213
City-C,607,EV,120
City-C,610,SHOCK,76
City-C,611,EV,184
City-C,613,EV,237
City-C,615,EV,180
City-C,618,EV,169
City-C,621,SHOCK,174
City-C,627,EV,154
City-C,645,PV,76
City-C,649,SHOCK,224
