city,user_id,user_type,base_cluster,amplitude,phase_base_hours,temp_group,temp_phase,event_type,event_start_day,tou_response_strength
City-C,0,commercial,0,0.754543,0.292613,2,4.062380,SHOCK,88,0.600000
City-C,1,residential,3,1.477563,-1.359608,0,2.935506,,-1,0.220000
City-C,2,commercial,7,0.926573,-0.017013,0,3.931716,,-1,0.600000
City-C,3,mixed,0,0.789830,-0.020226,2,1.234009,,-1,0.500000
City-C,4,commercial,0,0.924784,2.006776,2,2.593588,,-1,0.600000
City-C,5,residential,3,0.555150,-0.192885,2,1.194951,,-1,0.220000
City-C,6,residential,4,1.522245,-0.153528,2,3.784087,,-1,0.220000
City-C,7,commercial,0,0.994466,-0.602074,2,1.844561,,-1,0.600000
City-C,8,commercial,4,1.185136,-0.535576,2,4.395083,,-1,0.600000
City-C,9,commercial,2,1.303998,-0.766784,2,2.727904,PV,105,0.600000
City-C,10,mixed,5,0.502332,0.184833,2,2.902479,EV,105,0.500000
City-C,11,residential,4,1.111719,-1.036218,1,3.575638,EV,87,0.220000
City-C,12,mixed,0,0.848193,1.316081,2,4.606359,PV,164,0.500000
City-C,13,commercial,0,0.753361,1.142564,2,4.292010,,-1,0.600000
City-C,14,residential,5,0.684600,-1.099729,2,0.083467,,-1,0.220000
City-C,15,residential,1,1.495526,-2.671995,0,6.248429,,-1,0.220000
City-C,16,commercial,2,1.148890,-0.490367,0,5.559193,,-1,0.600000
City-C,17,commercial,2,0.700637,-0.906815,2,5.395548,,-1,0.600000
City-C,18,mixed,4,0.909569,0.431202,2,0.497772,SHOCK,241,0.500000
City-C,19,mixed,0,1.002838,0.038042,1,5.720211,,-1,0.500000
City-C,20,commercial,2,0.831230,1.373816,0,2.364927,,-1,0.600000
City-C,21,residential,3,0.574889,-1.045279,2,3.559523,,-1,0.220000
City-C,22,mixed,4,0.861810,-1.406212,2,3.570445,EV,253,0.500000
City-C,23,residential,0,1.093663,0.699365,0,2.104041,,-1,0.220000
City-C,24,commercial,1,1.166124,0.512696,2,0.089609,,-1,0.600000
City-C,25,commercial,1,1.004481,0.134303,2,5.690124,,-1,0.600000
City-C,26,commercial,4,1.091570,-0.577278,1,1.915643,,-1,0.600000
City-C,27,mixed,1,0.855701,-1.485569,1,6.073059,EV,161,0.500000
City-C,28,commercial,4,1.872016,-0.104003,1,0.395871,EV,158,0.600000
City-C,29,commercial,5,1.026414,0.406281,2,3.531556,,-1,0.600000
City-C,30,mixed,7,1.247228,1.180523,0,4.331881,SHOCK,154,0.500000
City-C,31,residential,3,1.046649,-0.186985,1,4.747460,,-1,0.220000
City-C,32,residential,2,0.923916,-1.727377,1,6.166708,SHOCK,235,0.220000
City-C,33,commercial,6,0.879137,-0.189125,2,1.079106,,-1,0.600000
City-C,34,mixed,4,0.738496,-0.483147,1,2.955841,,-1,0.500000
City-C,35,mixed,4,0.596755,0.515707,0,2.835287,,-1,0.500000
City-C,36,residential,0,0.804939,-0.203316,1,1.272003,SHOCK,103,0.220000
City-C,37,residential,5,1.106393,0.083200,2,4.578540,EV,131,0.220000
City-C,38,commercial,7,0.938560,0.603368,1,5.959055,,-1,0.600000
City-C,39,mixed,3,1.871516,0.407751,2,2.124527,,-1,0.500000
City-C,40,commercial,3,0.968668,-0.251616,2,3.218179,,-1,0.600000
City-C,41,commercial,4,1.529130,-0.235624,0,0.004357,SHOCK,120,0.600000
City-C,42,commercial,3,0.808773,-1.251339,1,0.712167,,-1,0.600000
City-C,43,commercial,5,0.991971,0.264681,2,4.504225,,-1,0.600000
City-C,44,commercial,0,0.571857,0.250244,0,0.598216,,-1,0.600000
City-C,45,residential,2,1.912547,0.313800,2,2.446986,,-1,0.220000
City-C,46,residential,7,1.232554,-0.310396,2,0.830868,,-1,0.220000
City-C,47,mixed,1,0.743261,-0.670797,1,3.797746,PV,75,0.500000
City-C,48,residential,2,0.853039,0.699362,2,2.881224,,-1,0.220000
City-C,49,commercial,6,0.778143,-0.519460,2,3.961047,,-1,0.600000
City-C,50,residential,2,0.718313,-0.716093,0,5.860629,,-1,0.220000
City-C,51,residential,0,1.543052,-0.831333,2,2.538354,,-1,0.220000
City-C,52,mixed,7,1.408089,0.293914,0,4.788696,,-1,0.500000
City-C,53,mixed,3,0.633742,1.048781,0,0.842637,,-1,0.500000
City-C,54,residential,0,1.129086,1.589991,2,2.477544,,-1,0.220000
City-C,55,residential,2,1.210347,-1.083047,2,1.130409,,-1,0.220000
City-C,56,commercial,1,0.764313,-0.329147,2,1.477324,EV,227,0.600000
City-C,57,residential,6,1.005784,-0.125024,0,5.097236,,-1,0.220000
City-C,58,commercial,3,1.809886,1.347235,0,4.479871,SHOCK,218,0.600000
City-C,59,commercial,6,0.608704,0.535166,0,5.397843,,-1,0.600000
City-C,60,commercial,5,0.962726,1.033287,1,6.085460,,-1,0.600000
City-C,61,commercial,1,1.450172,-0.438441,0,1.475326,,-1,0.600000
City-C,62,commercial,0,1.653488,1.049722,2,2.145781,SHOCK,285,0.600000
City-C,63,residential,3,0.693003,0.271042,0,3.421180,,-1,0.220000
City-C,64,residential,7,1.318416,0.795577,0,1.066480,,-1,0.220000
City-C,65,residential,6,1.689402,1.794338,0,5.110809,EV,156,0.220000
