method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
kmeans,City-A,2024-01,1,800,,8,0.5015734991816315,0.44021253771779434,0.8918743372631619,,
kmeans,City-A,2024-02,1,800,800.0,8,0.5207189642803702,0.4191115812678291,0.9019937006633333,0.2775,2.491210494739788
kmeans,City-A,2024-03,1,800,800.0,8,0.5195133129038602,0.4246816272029797,0.9239732210996242,0.3825,3.4338306819386277
kmeans,City-A,2024-04,1,800,800.0,8,0.5457634158044435,0.4648122417149553,0.7936690315145792,0.30625,2.7493088793299463
kmeans,City-A,2024-05,1,800,800.0,8,0.48128504992783716,0.4216335079350314,0.8942353043763653,0.02,0.17954670232358833
kmeans,City-A,2024-06,1,800,800.0,8,0.3461808756367782,0.371500808727436,1.007872034966351,0.39375,3.5348257019956453
kmeans,City-A,2024-07,1,800,800.0,8,0.34262221561085704,0.40815732358125034,0.9132205093097578,0.2775,2.491210494739788
kmeans,City-A,2024-08,1,800,800.0,8,0.32778918442857535,0.42763713219328464,0.8908114590506573,0.31625,2.8390822304917407
kmeans,City-A,2024-09,1,800,800.0,8,0.2766373584706749,0.3675843992201236,0.96345594872459,0.30875,2.771752217120395
kmeans,City-A,2024-10,1,800,800.0,8,0.2810589502951839,0.3881437794533881,0.9062440695870482,0.195,1.7505803476549864
kmeans,City-A,2024-11,1,800,800.0,8,0.2614703850168785,0.3665334037824134,1.033897862620274,0.37375,3.3552789996720573
kmeans,City-A,2024-12,1,800,800.0,8,0.26247463199697313,0.41117295536602355,0.9408216657046398,0.28,2.5136538325302364
kmeans,City-B,2024-01,1,500,,8,0.8692256345044729,0.5177969735114774,0.6143867414844293,,
kmeans,City-B,2024-02,1,500,500.0,8,0.9612621217412747,0.6424751611146716,0.5013962910533991,0.108,0.9695521925473769
kmeans,City-B,2024-03,1,500,500.0,8,0.7744583804528964,0.5308931025334322,0.5984396679881159,0.234,2.1006964171859837
kmeans,City-B,2024-04,1,500,500.0,8,0.9291445419398489,0.6097396136216725,0.5081398889460496,0.236,2.118651087418342
kmeans,City-B,2024-05,1,500,500.0,8,0.904858045300385,0.6452919698010737,0.46421053096814446,0.006,0.0538640106970765
kmeans,City-B,2024-06,1,500,500.0,8,0.8766455714559793,0.575899197527315,0.5578709375663918,0.012,0.107728021394153
kmeans,City-B,2024-07,1,500,500.0,8,0.8559071858713674,0.5787588044302442,0.5429822326585945,0.006,0.0538640106970765
kmeans,City-B,2024-08,1,500,500.0,8,0.6945365873906476,0.4685943920549673,0.7687945133630409,0.192,1.723648342306448
kmeans,City-B,2024-09,1,500,500.0,8,0.7161473457021289,0.54265392046409,0.657045130246596,0.294,2.6393365241567484
kmeans,City-B,2024-10,1,500,500.0,8,0.8148761804199556,0.5823113989498502,0.560012477284336,0.154,1.38250960789163
kmeans,City-B,2024-11,1,500,500.0,8,0.733722616071183,0.486957609471728,0.7298547683400549,0.186,1.6697843316093712
kmeans,City-B,2024-12,1,500,500.0,8,0.8283157286761292,0.589597281434243,0.6010745166536058,0.148,1.3286455971945534
kmeans,City-C,2024-01,1,650,,8,0.6558502079430414,0.46895966623599605,0.8151463392523277,,
kmeans,City-C,2024-02,1,650,650.0,8,0.6987875321615329,0.517618135436789,0.6837475985623815,0.18769230769230769,1.6849767448829058
kmeans,City-C,2024-03,1,650,650.0,8,0.6769119774727766,0.47850347224038925,0.7492428606292283,0.09692307692307692,0.8701109420296972
kmeans,City-C,2024-04,1,650,650.0,8,0.6111405033340598,0.4937713803682062,0.7782916135279092,0.14461538461538462,1.298260770647485
kmeans,City-C,2024-05,1,650,650.0,8,0.5528860735957125,0.4343098993280431,0.8512252997360625,0.4,3.5909340464717667
kmeans,City-C,2024-06,1,650,650.0,8,0.5554291021754191,0.47158108003917887,0.7604931417880254,0.4046153846153846,3.632367900854133
kmeans,City-C,2024-07,1,650,650.0,8,0.5322809429728618,0.393355126275531,0.8916641618288113,0.18615384615384614,1.6711654600887837
kmeans,City-C,2024-08,1,650,650.0,8,0.45398762986110125,0.4365198289455236,0.8849003569138347,0.24,2.15456042788306
kmeans,City-C,2024-09,1,650,650.0,8,0.4628222299325377,0.42725887757907144,0.8809042837075596,0.1753846153846154,1.5744864665299285
